SKU,ITEM NAME,CATEGORY,ITEM DESCRIPTION,COMMENT,QTY ON HAND,PAR QTY,UOM,COST PER UNIT,CURRENCY,TOTAL COST IN INVENTORY,LOCATION,SUPPLIER,SUPPLIER-SKU,SUPPLIER2,SUPPLIER2-SKU,QUICKBOOKS CAT,UUID,DATE CREATED,DATE MODIFIED
175-PET-BULK,1.75L PET CONTAINER BULK,Bottle,,,8015,,,0.77,CAD,6171.55,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
114-PET-BULK,1.14L PET CONTAINER BULK,Bottle,,,1737,,,0.63,CAD,1094.31,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
750-PET-BULK,750ML PET CONTAINER BULK,Bottle,,,11538,,,0.62,CAD,7153.56,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
375-PET-BULK,375ML PET CONTAINER BULK,Bottle,,,7319,,,0.34,CAD,2488.46,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
200-PET-BULK,200ML PET CONTAINER BULK,Bottle,,,3696,,,0.19,CAD,702.24,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
175-6-PET-CASE,1.75L X 6 PET CONTAINER (CASE),Bottle (Box),6 X 1.75L PET CONTAINER IN BOX,,25,,,3.3,CAD,82.5,,,,,,5095,,Nov 17 2022,Nov 17 2022
114-12-PET-CASE,1.14L X 12 PET CONTAINER (CASE),Bottle (Box),12 X 1.14L PET CONTAINER IN BOX,,291,,,7.56,CAD,2199.96,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-PET-CASE,750ML X 12 PET CONTAINER (CASE),Bottle (Box),12 X 750L PET CONTAINER IN BOX,,0,,,7.44,CAD,0,,AMCOR,,,,5095,,Nov 17 2022,Nov 17 2022
375-24-PET-CASE,375ML X 24 PET CONTAINER (CASE),Bottle (Box),24 X 375L PET CONTAINER IN BOX,,25,,,8.16,CAD,204,,,,,,5095,,Nov 17 2022,Nov 17 2022
200-24-PET-CASE,200ML X 24 PET CONTAINER (CASE),Bottle (Box),24 X 200L PET CONTAINER IN BOX,,0,,,6.48,CAD,0,,,,,,5095,,Nov 17 2022,Nov 17 2022
750-GLASS-ROUND-BULK,750ML ROUND GLASS CONTAINER BULK,Glass Bottle,,,0,,,,CAD,0,,,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-GLASS-ROUND-CASE,750ML X 12 ROUND GLASS CONTAINER (CASE),Glass Bottle (Box),,,400,,,14.69,CAD,5876,,UNITED BOTTLE,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-GLASS-RECT-BULK,750ML RECTANGLE GLASS CONTAINER BULK,Glass Bottle,,,0,,,,CAD,0,,,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-GLASS-RECT-CASE,750ML X 12 RECTANGLE GLASS CONTAINER (CASE),Glass Bottle (Box),,,157,,,16.54,CAD,2596.78,,UNITED BOTTLE,,,,5095,,Nov 17 2022,Nov 17 2022
355-25-GLASS-ROUND-CASE,355ML X 24 CLEAR GLASS BOTTLE (CASE),Glass Bottle (Box),,,70,,,18.37,CAD,1285.9,,,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-GLASS-TJ-GRN-CS,750ML X 12 THUMB JUGS GREEN (CASE),Glass Bottle (Box),,,17,,,11.04,CAD,187.68,,UNITED BOTTLE,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-GLASS-TJ-BRN-CS,750ML X 12 THUMB JUGS BROWN (CASE),Glass Bottle (Box),,,56,,,11.04,CAD,618.24,,UNITED BOTTLE,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-GLASS-FRST-CS,750ML X 12 FROSTED GLASS (CASE),Glass Bottle (Box),,,38,,,8.28,CAD,314.64,,UNITED BOTTLE,,,,5095,,Nov 17 2022,Nov 17 2022
,,,,,,,,,,,,,,,,,,,
200-24-CORR,200ML X 24 BOX (PET),Box,,,175,,,1.92,CAD,336,,PRAIRIE PACKAGING,,,,5095,,Nov 17 2022,Nov 17 2022
375-24-CORR,375ML X 24 BOX (PET),Box,,,387,,,1.45,CAD,561.15,,ULINE,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-CORR,750ML X 12 BOX (PET),Box,,NEED PRICE FROM PRAIRIE PACK,978,,,1,CAD,978,,PRAIRIE PACKAGING,,,,5095,,Nov 17 2022,Nov 18 2022
1-14-12-CORR,1.14L X 12 BOX (PET),Box,,NEED PRICE FROM PRAIRIE PACK,831,,,1,CAD,831,,PRAIRIE PACKAGING,,,,5095,,Nov 17 2022,Nov 17 2022
1-75-6-CORR,1.75L X 6 BOX (PET),Box,,,811,,,1.39,CAD,1127.29,,PRAIRIE PACKAGING,,,,5095,,Nov 17 2022,Nov 17 2022
,,,,,,,,,,,,,,,,,,,
28-KERR,28MM KERR,Closure (Plastic),2200 PER BOX,,22000,,,0.06,CAD,1320,,AMPAK,,,,5095,,Nov 17 2022,Nov 17 2022
33-KERR,33MM KERR,Closure (Plastic),1300 PER BOX,,3900,,,0.1,CAD,390,,AMPAK,,,,5095,,Nov 17 2022,Nov 17 2022
T-CORK,T-TOP CORK,Closure (Cork),,,2000,,,,CAD,0,,UNITED BOTTLE,,,,5095,,Nov 17 2022,Nov 17 2022
,,,,,,,,,,,,,,,,,,,
